City,Latitude,Longitude
London,51.5074,-0.1278
Paris,48.8566,2.3522
Berlin,52.52,13.405
Madrid,40.4168,-3.7038
Rome,41.9028,12.4964
Vienna,48.2082,16.3738
Prague,50.0755,14.4378
Amsterdam,52.3676,4.9041
Brussels,50.8503,4.3517
Copenhagen,55.6761,12.5683
Dublin,53.3498,-6.2603
Oslo,59.9139,10.7522
Stockholm,59.3293,18.0686
Helsinki,60.1695,24.9354
Lisbon,38.7169,-9.1399
Athens,37.9838,23.7275
Zurich,47.3769,8.5417
Warsaw,52.2297,21.0122
Budapest,47.4979,19.0402
Belgrade,44.7866,20.4489
Sofia,42.6977,23.3219
Zagreb,45.815,15.9819
Ljubljana,46.0569,14.5058
Sarajevo,43.8563,18.4131
Skopje,41.9981,21.4254
Podgorica,42.4304,19.2594
Tirana,41.3275,19.8189
Reykjavik,64.1355,-21.8954
Tallinn,59.437,24.7536
Riga,56.9496,24.1052
Vilnius,54.6872,25.2797
Luxembourg,49.6117,6.1319
Monaco,43.7384,7.4246
San Marino,43.9333,12.45
Andorra la Vella,42.5078,1.5211
Valletta,35.8997,14.5146
Chisinau,47.01,28.8638
Bucharest,44.4268,26.1025
Bratislava,48.1486,17.1077
Krakow,50.0647,19.945
Gdansk,54.352,18.6466
Lodz,51.7592,19.456
Seville,37.3891,-5.9845
Valencia,39.4699,-0.3763
Barcelona,41.3851,2.1734
Milan,45.4642,9.19
Naples,40.8518,14.2681
Turin,45.0703,7.6869
Genoa,44.4056,8.9463
Lyon,45.75,4.85
Marseille,43.2965,5.3698
Nice,43.7102,7.262
Lille,50.6292,3.0573
Hamburg,53.5511,9.9937
Munich,48.1351,11.582
Frankfurt,50.1109,8.6821
Cologne,50.9375,6.9603
Dusseldorf,51.2277,6.7735
Stuttgart,48.7758,9.1829
Leipzig,51.3397,12.3731
Dresden,51.0504,13.7373
Bremen,53.0793,8.8017
Hanover,52.3759,9.732
Nuremberg,49.4521,11.0767
Essen,51.4556,7.0116
Dortmund,51.5136,7.4653
Glasgow,55.8642,-4.2518
Edinburgh,55.9533,-3.1883
Birmingham,52.4862,-1.8904
Manchester,53.4808,-2.2426
Liverpool,53.4084,-2.9916
Leeds,53.8008,-1.5491
Sheffield,53.3811,-1.4701
Bristol,51.4545,-2.5879
Newcastle,54.9784,-1.6174
Nottingham,52.9548,-1.1581
Cardiff,51.4816,-3.1791
Belfast,54.5973,-5.9301
Cork,51.8985,-8.4756
Limerick,52.668,-8.6305
Galway,53.2707,-9.0568
Killarney,52.0591,-9.5045
Inverness,57.4778,-4.2247
Aberdeen,57.1497,-2.0943
Dundee,56.462,-2.9707
Perth,56.3966,-3.437
Stirling,56.1165,-3.9369
York,53.959,-1.0815
Bath,51.3758,-2.3599
Exeter,50.7184,-3.5339
Plymouth,50.3755,-4.1427
Southampton,50.9097,-1.4044
Portsmouth,50.8198,-1.088
Norwich,52.6309,1.2974
Cambridge,52.2053,0.1218
Oxford,51.752,-1.2577
Canterbury,51.2802,1.0789
Brighton,50.8225,-0.1372

